attempt_id,inv_at,attempt_end,attempt_start, day_diff ,attempt_time,attempt_ct,out_of_window_seconds,network_disconnect_seconds,window_exit_ct,copy_paste_ct,q1-time_taken,q2-time_taken,q3-time_taken,q4-time_taken,q5-time_taken,q6-time_taken,q7-time_taken,q8-time_taken,q9-time_taken,q10-time_taken,q11-time_taken,q12-time_taken,q13-time_taken,q14-time_taken,q13-testcase_passed,q14-testcase_passed,q2-testcase_time,q3-testcase_time,q4-testcase_time,q5-testcase_time,q6-testcase_time,q7-testcase_time,q8-testcase_time,q9-testcase_time,q10-testcase_time,q11-testcase_time,q12-testcase_time,q13-testcase_time,q14-testcase_time,score_pct,pass
81500216,12/26/2051 11:15,7/22/2051 21:19,2/21/2048 13:31," 1,247.00 ",323372,2,4975,293977,39,0,84,4339,516,1521,4703,3165,966,1977,810,367,8654,412,1511,190,0,0,0.019187,0.020191,0.088721,0.019986,0.016311,0.104294,0.011024,0.01503,0.012108,0.019087,0.014695,0.08546,0.013068,0.77,0
80998706,11/12/2051 14:29,3/4/2051 9:53,10/20/2047 13:00," 1,231.00 ",113124,2,95546,46299,176,47,481,4322,6518,4796,168,1423,338,6882,293,323,16114,22134,1340,1536,0,0,0.019858,0.008865,0.01566,0.020184,0.095267,0.00981,0.023157,0.015684,0.017063,0.007624,0.01921,0.020528,0.014799,0.77,0
47411548,9/21/2050 21:12,8/12/2031 4:25,7/14/2030 3:52, 394.00 ,257975,2,0,144125,0,0,185,2705,434,31801,11765,19400,10967,16744,692,635,13683,896,198,811,,1,0.031876,0.032848,0.01104,0.032882,0.03347,0.017053,0.013241,0.032481,0.020943,0.016773,0.041491,,0.036087,0.77,0
48934202,6/26/2050 3:40,10/15/2030 3:55,10/21/2029 9:37, 359.00 ,259174,2,0,175152,0,0,21,1058,1198,1398,1351,8736,1463,5764,1025,9911,4161,2758,30473,9237,0,,0.03086,0.11587,0.0283,0.164923,0.031163,0.033415,0.021317,0.036937,0.018356,0.124454,0.190709,0.039019,,0.77,0
52978832,1/31/2051 11:30,7/2/2036 5:47,11/7/2034 0:09, 603.00 ,2449,2,0,0,0,16,0,177,418,76,152,56,256,640,67,38,41,101,225,174,0,1,0.030682,0.030912,0.029271,0.036266,0.030716,0.03014,0.034263,0.032915,0.036041,0.03511,0.025576,0.037434,0.038413,0.76,0
34142142,8/23/2049 2:18,5/15/2023 23:25,4/4/2023 13:22, 41.00 ,275751,2,203564,91924,279,0,,363,166,275,217,9589,15324,28180,907,1162,22771,9570,36150,52429,0,0,0.0073,0.00952,0.00745,0.00931,0.00692,0.00873,0.00803,0.0075,0.00726,0.00997,0.00937,0.00688,0.00948,0.77,0
69300312,4/29/2051 5:02,2/8/2042 4:23,10/19/2039 4:15, 843.00 ,320156,2,265967,220567,242,60,16,1418,757,5979,320,5951,21486,475,309,11330,632,9505,31952,9419,0,0,0.084531,0.076464,0.011338,0.034648,0.076072,0.040445,0.066712,0.059996,0.0571,0.255363,0.049967,0.104853,0.025247,0.69,0
47411506,8/30/2050 22:49,7/3/2031 1:09,6/8/2030 17:26, 390.00 ,105411,2,0,103754,0,0,3,119,30,44,23,57,1094,37,33,38,26,24,52,35,1,0,0.094845,0.033105,0.032174,0.049332,0.029851,0.030401,0.030959,0.047671,0.033181,0.037564,0.042735,0.04024,0.012955,0.69,0
79120184,10/21/2051 16:06,8/15/2050 17:33,4/26/2047 8:50," 1,207.00 ",337346,2,342,308623,5,15,16,6851,334,251,641,3058,1889,2577,723,942,4973,862,2544,2819,0,0,0.112435,0.471324,0.030627,0.035826,0.029348,0.065395,0.031736,0.03443,0.196193,0.032319,0.038931,0.04117,0.031904,0.69,0
41178174,6/4/2050 5:17,10/7/2027 10:05,2/19/2027 22:42, 230.00 ,259053,2,49789,171164,2,18,,581,176,37,60,4236,11256,2446,224,162,358,510,9649,7169,0,0,0.027793,0.030492,0.029489,0.069131,0.014849,0.012852,0.034551,0.017257,0.015026,0.037006,0.035464,0.198079,0.016439,0.69,0
47411574,10/13/2050 19:35,9/21/2031 7:41,8/18/2030 14:18, 399.00 ,259191,2,0,195443,0,0,10764,707,67,31534,1138,4096,1035,2105,11332,427,482,0,0,0,,,0.032631,0.034454,0.032987,0.033199,0.014645,0.031464,0.038426,0.034865,0.033473,0.011917,,,,0.62,0
47411552,12/11/2052 9:23,2/28/2032 20:45,1/7/2031 8:02, 417.00 ,207864,2,0,84437,0,0,11,852,400,9677,6825,28026,12857,7732,6507,687,17326,1771,8607,22137,0,0,0.027419,0.031414,0.030184,0.036731,0.016537,0.015189,0.043482,0.030135,0.037224,0.03455,0.04211,0.02866,0.036987,0.47,0
